"","num_id","s_id","Turbidity","Nitrogen","dominant_landcover","Longitude","lat","E.Coli","Phosphorus","period","Trend","percent_annual_change"
"371",371,"ECAN-00135",39,39,"Pastoral",172.649371974624,-43.6409683450695,39,39,"2008-2017","Improving",">2% improving"
"372",372,"ECAN-00136",40,40,"Pastoral",173.417858852715,-42.5991035826002,40,40,"2008-2017","Indeterminate","0-1% worsening"
"373",373,"ECAN-00137",119,118,"Pastoral",172.749083204435,-42.876234607501,119,118,"2008-2017","Improving",">2% improving"
"374",374,"ECAN-00138",115,114,"Pastoral",172.903096647124,-42.8324948248077,115,114,"2008-2017","Improving",">2% improving"
"375",375,"ECAN-00139",40,40,"Pastoral",173.064849853562,-42.6347007757093,40,40,"2008-2017","Indeterminate",">2% improving"
"376",376,"ECAN-00140",37,37,"Pastoral",172.649768672719,-43.6193233978532,37,37,"2008-2017","Indeterminate",">2% improving"
"377",377,"ECAN-00141",39,40,"Urban area",172.623152695548,-43.3223979837256,40,40,"2008-2017","Improving",">2% improving"
"378",378,"ECAN-00148",39,40,"Pastoral",172.602311652791,-43.3250906225425,40,40,"2008-2017","Improving",">2% improving"
"379",379,"ECAN-00149",37,37,"Pastoral",172.961527118201,-43.8103062004183,37,37,"2008-2017","Indeterminate","1-2% improving"
"380",380,"ECAN-00151",40,40,"Pastoral",171.985995770585,-43.4349302516089,40,40,"2008-2017","Indeterminate","0-1% improving"
"381",381,"ECAN-00152",40,40,"Pastoral",172.905677497456,-43.7776170794892,40,40,"2008-2017","Improving",">2% improving"
"382",382,"ECAN-00153",40,40,"Pastoral",173.273456560581,-42.4624517062237,39,40,"2008-2017","Indeterminate",">2% improving"
"383",383,"ECAN-00154",40,40,"Pastoral",173.450553840439,-42.5419975990207,40,40,"2008-2017","Indeterminate","0-1% worsening"
"384",384,"ECAN-00155",39,39,"Pastoral",172.702475094549,-43.6541132171042,39,39,"2008-2017","Improving",">2% improving"
"385",385,"ECAN-00156",40,40,"Pastoral",172.902701074957,-43.8152059221775,40,40,"2008-2017","Indeterminate","0-1% improving"
"386",386,"ECAN-00157",40,40,"Pastoral",172.970424248872,-43.7821851023631,40,40,"2008-2017","Indeterminate","0-1% improving"
"387",387,"ECAN-00160",40,40,"Pastoral",173.541729874765,-42.4081484648624,40,40,"2008-2017","Indeterminate","0-1% worsening"
"388",388,"ECAN-00161",39,39,"Pastoral",173.768152459295,-42.2791492165521,39,39,"2008-2017","Indeterminate","0-1% worsening"
"389",389,"ECAN-00162",40,40,"Native",173.717614452675,-42.3113319287353,40,40,"2008-2017","Indeterminate","0-1% worsening"
"390",390,"ECAN-00163",40,40,"Pastoral",172.91094266656,-43.7607647259703,40,40,"2008-2017","Indeterminate",">2% improving"
"391",391,"ECAN-00164",40,40,"Pastoral",172.933227827538,-43.7404667228914,40,40,"2008-2017","Indeterminate","0-1% worsening"
