"","num_id","s_id","Turbidity","Nitrogen","dominant_landcover","Longitude","lat","E.Coli","Phosphorus","period","Trend","percent_annual_change"
"130",130,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,108,249,"1998-2017","Improving",">2% improving"
"131",131,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,108,110,"1990-2017","Improving","1-2% improving"
"132",132,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,108,249,"1998-2017","Improving",">2% improving"
"133",133,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,117,110,"1990-2017","Improving","1-2% improving"
"134",134,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,117,249,"1998-2017","Improving",">2% improving"
"135",135,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,108,119,"2008-2017","Improving",">2% improving"
"136",136,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,117,119,"2008-2017","Improving",">2% improving"
"137",137,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,117,110,"1990-2017","Improving","1-2% improving"
"138",138,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,247,110,"1990-2017","Improving","1-2% improving"
"139",139,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,117,119,"2008-2017","Improving",">2% improving"
"140",140,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,117,110,"1990-2017","Improving","1-2% improving"
"141",141,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,247,249,"1998-2017","Improving",">2% improving"
"142",142,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,108,119,"2008-2017","Improving",">2% improving"
"143",143,"EBOP-00012",119,243,"Pastoral",176.331334024599,-38.04374524973,108,110,"1990-2017","Improving","1-2% improving"
"144",144,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,108,119,"2008-2017","Improving",">2% improving"
"145",145,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,117,249,"1998-2017","Improving",">2% improving"
"146",146,"EBOP-00012",119,110,"Pastoral",176.331334024599,-38.04374524973,247,119,"2008-2017","Improving",">2% improving"
"147",147,"EBOP-00012",119,119,"Pastoral",176.331334024599,-38.04374524973,108,249,"1998-2017","Improving",">2% improving"
"148",148,"EBOP-00013",115,116,"Pastoral",176.071591486741,-37.7607959884461,117,117,"2008-2017","Worsening",">2% worsening"
"149",149,"EBOP-00019",117,101,"Pastoral",176.264682382987,-38.1556950047245,244,247,"1998-2017","Worsening",">2% worsening"
"150",150,"EBOP-00019",117,118,"Pastoral",176.264682382987,-38.1556950047245,116,118,"2008-2017","Worsening","1-2% worsening"
"151",151,"EBOP-00019",117,101,"Pastoral",176.264682382987,-38.1556950047245,244,101,"1990-2017","Worsening","1-2% worsening"
"152",152,"EBOP-00019",117,101,"Pastoral",176.264682382987,-38.1556950047245,116,101,"1990-2017","Worsening","1-2% worsening"
"153",153,"EBOP-00019",117,238,"Pastoral",176.264682382987,-38.1556950047245,244,101,"1990-2017","Worsening","1-2% worsening"
"154",154,"EBOP-00019",117,101,"Pastoral",176.264682382987,-38.1556950047245,244,118,"2008-2017","Worsening","1-2% worsening"
"155",155,"EBOP-00019",117,118,"Pastoral",176.264682382987,-38.1556950047245,244,118,"2008-2017","Worsening","1-2% worsening"
"156",156,"EBOP-00019",117,118,"Pastoral",176.264682382987,-38.1556950047245,116,101,"1990-2017","Worsening","1-2% worsening"
"157",157,"EBOP-00019",117,101,"Pastoral",176.264682382987,-38.1556950047245,116,247,"1998-2017","Worsening",">2% worsening"
"158",158,"EBOP-00019",117,118,"Pastoral",176.264682382987,-38.1556950047245,116,247,"1998-2017","Worsening",">2% worsening"
"159",159,"EBOP-00019",117,238,"Pastoral",176.264682382987,-38.1556950047245,244,247,"1998-2017","Worsening",">2% worsening"
"160",160,"EBOP-00019",117,238,"Pastoral",176.264682382987,-38.1556950047245,116,118,"2008-2017","Worsening","1-2% worsening"
"161",161,"EBOP-00019",117,238,"Pastoral",176.264682382987,-38.1556950047245,244,118,"2008-2017","Worsening","1-2% worsening"
"162",162,"EBOP-00019",117,101,"Pastoral",176.264682382987,-38.1556950047245,116,118,"2008-2017","Worsening","1-2% worsening"
"163",163,"EBOP-00019",117,118,"Pastoral",176.264682382987,-38.1556950047245,244,101,"1990-2017","Worsening","1-2% worsening"
"164",164,"EBOP-00019",117,238,"Pastoral",176.264682382987,-38.1556950047245,116,101,"1990-2017","Worsening","1-2% worsening"
"165",165,"EBOP-00019",117,238,"Pastoral",176.264682382987,-38.1556950047245,116,247,"1998-2017","Worsening",">2% worsening"
"166",166,"EBOP-00019",117,118,"Pastoral",176.264682382987,-38.1556950047245,244,247,"1998-2017","Worsening",">2% worsening"
"167",167,"EBOP-00025",39,39,"Exotic forest",176.738648828543,-38.0265092686686,39,39,"2008-2017","Indeterminate","1-2% worsening"
"168",168,"EBOP-00026",112,114,"Pastoral",175.911020375883,-37.5847619315192,114,114,"2008-2017","Worsening",">2% worsening"
"169",169,"EBOP-00037",114,114,"Pastoral",176.094403671783,-37.6992169435331,114,114,"2008-2017","Worsening",">2% worsening"
"170",170,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,117,118,"2008-2017","Worsening",">2% worsening"
"171",171,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,108,237,"1998-2017","Worsening","1-2% worsening"
"172",172,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,238,118,"2008-2017","Worsening",">2% worsening"
"173",173,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,108,237,"1998-2017","Worsening","1-2% worsening"
"174",174,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,238,237,"1998-2017","Worsening","1-2% worsening"
"175",175,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,238,110,"1990-2017","Worsening","0-1% worsening"
"176",176,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,238,118,"2008-2017","Worsening",">2% worsening"
"177",177,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,108,110,"1990-2017","Worsening","0-1% worsening"
"178",178,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,108,237,"1998-2017","Worsening","1-2% worsening"
"179",179,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,238,110,"1990-2017","Worsening","0-1% worsening"
"180",180,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,117,237,"1998-2017","Worsening","1-2% worsening"
"181",181,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,117,110,"1990-2017","Worsening","0-1% worsening"
"182",182,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,117,110,"1990-2017","Worsening","0-1% worsening"
"183",183,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,108,118,"2008-2017","Worsening",">2% worsening"
"184",184,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,238,237,"1998-2017","Worsening","1-2% worsening"
"185",185,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,238,118,"2008-2017","Worsening",">2% worsening"
"186",186,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,117,110,"1990-2017","Worsening","0-1% worsening"
"187",187,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,108,118,"2008-2017","Worsening",">2% worsening"
"188",188,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,108,110,"1990-2017","Worsening","0-1% worsening"
"189",189,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,117,118,"2008-2017","Worsening",">2% worsening"
"190",190,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,108,118,"2008-2017","Worsening",">2% worsening"
"191",191,"EBOP-00042",118,233,"Native",176.983869308258,-38.0488160210074,117,237,"1998-2017","Worsening","1-2% worsening"
"192",192,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,108,110,"1990-2017","Worsening","0-1% worsening"
"193",193,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,117,118,"2008-2017","Worsening",">2% worsening"
"194",194,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,117,237,"1998-2017","Worsening","1-2% worsening"
"195",195,"EBOP-00042",118,118,"Native",176.983869308258,-38.0488160210074,238,110,"1990-2017","Worsening","0-1% worsening"
"196",196,"EBOP-00042",118,110,"Native",176.983869308258,-38.0488160210074,238,237,"1998-2017","Worsening","1-2% worsening"
"197",197,"EBOP-00044",117,84,"Native",177.284213895174,-38.0929200300549,84,84,"1998-2017","Worsening","1-2% worsening"
"198",198,"EBOP-00044",117,117,"Native",177.284213895174,-38.0929200300549,116,117,"2008-2017","Worsening",">2% worsening"
"199",199,"EBOP-00044",117,117,"Native",177.284213895174,-38.0929200300549,84,117,"2008-2017","Worsening",">2% worsening"
"200",200,"EBOP-00044",117,84,"Native",177.284213895174,-38.0929200300549,84,117,"2008-2017","Worsening",">2% worsening"
"201",201,"EBOP-00044",117,117,"Native",177.284213895174,-38.0929200300549,84,84,"1998-2017","Worsening","1-2% worsening"
"202",202,"EBOP-00044",117,117,"Native",177.284213895174,-38.0929200300549,116,84,"1998-2017","Worsening","1-2% worsening"
"203",203,"EBOP-00044",117,84,"Native",177.284213895174,-38.0929200300549,116,84,"1998-2017","Worsening","1-2% worsening"
"204",204,"EBOP-00044",117,84,"Native",177.284213895174,-38.0929200300549,116,117,"2008-2017","Worsening",">2% worsening"
"205",205,"EBOP-00045",116,116,"Exotic forest",177.632294880597,-37.8636965795139,116,116,"2008-2017","Indeterminate","1-2% improving"
"206",206,"EBOP-00048",120,120,"Exotic forest",176.69768552677,-38.4601551204011,120,120,"2008-2017","Worsening","0-1% worsening"
"207",207,"EBOP-00049",120,119,"Exotic forest",176.800003428746,-38.0400378942047,120,120,"2008-2017","Indeterminate","0-1% worsening"
"208",208,"EBOP-00050",120,120,"Exotic forest",176.766690971962,-37.9414091255637,120,120,"2008-2017","Improving","1-2% improving"
"209",209,"EBOP-00053",120,120,"Native",176.747577277343,-38.4798169932264,120,120,"2008-2017","Indeterminate","0-1% worsening"
"210",210,"EBOP-00057",113,113,"Pastoral",176.363800997398,-37.7934217549296,111,113,"2008-2017","Indeterminate","0-1% worsening"
"211",211,"ECAN-00001",40,40,"Pastoral",169.97260986077,-44.4586301907871,40,40,"2008-2017","Improving",">2% improving"
"212",212,"ECAN-00002",40,40,"Pastoral",170.037831854473,-44.4652166189312,40,40,"2008-2017","Indeterminate","0-1% worsening"
"213",213,"ECAN-00003",39,39,"Pastoral",170.680355669389,-44.5092472731712,39,39,"2008-2017","Indeterminate","0-1% worsening"
"214",214,"ECAN-00007",38,38,"Pastoral",170.07036660935,-44.3045802099325,38,38,"2008-2017","Worsening",">2% worsening"
"215",215,"ECAN-00008",40,40,"Pastoral",170.675748147957,-44.5088735237057,40,40,"2008-2017","Indeterminate","0-1% worsening"
"216",216,"ECAN-00010",40,40,"Pastoral",170.635451651469,-44.5979984596371,40,40,"2008-2017","Improving",">2% improving"
"217",217,"ECAN-00014",40,84,"Pastoral",171.737127472654,-43.9094403266989,40,40,"2008-2017","Indeterminate","0-1% worsening"
"218",218,"ECAN-00014",40,84,"Pastoral",171.737127472654,-43.9094403266989,40,81,"1998-2017","Improving",">2% improving"
